datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
2011-01-01 00:00:00,1,0,0,1,0.24,0.2879,0.81,0.0,3,13,16
2011-01-01 01:00:00,1,0,0,1,0.22,0.2727,0.8,0.0,8,32,40
2011-01-01 02:00:00,1,0,0,1,0.22,0.2727,0.8,0.0,5,27,32
2011-01-01 03:00:00,1,0,0,1,0.24,0.2879,0.75,0.0,3,10,13
2011-01-01 04:00:00,1,0,0,1,0.24,0.2879,0.75,0.0,0,1,1
2011-01-01 05:00:00,1,0,0,2,0.24,0.2576,0.75,0.0896,0,1,1
2011-01-01 06:00:00,1,0,0,1,0.22,0.2727,0.8,0.0,2,0,2
2011-01-01 07:00:00,1,0,0,1,0.2,0.2576,0.86,0.0,1,2,3
2011-01-01 08:00:00,1,0,0,1,0.24,0.2879,0.75,0.0,1,7,8
2011-01-01 09:00:00,1,0,0,1,0.32,0.3485,0.76,0.0,8,6,14
2011-01-01 10:00:00,1,0,0,1,0.38,0.3939,0.76,0.2537,12,24,36
2011-01-01 11:00:00,1,0,0,1,0.36,0.3333,0.81,0.2836,26,30,56
2011-01-01 12:00:00,1,0,0,1,0.42,0.4242,0.77,0.2836,29,55,84
2011-01-01 13:00:00,1,0,0,2,0.46,0.4545,0.72,0.2985,47,47,94
2011-01-01 14:00:00,1,0,0,2,0.46,0.4545,0.72,0.2836,35,71,106
2011-01-01 15:00:00,1,0,0,2,0.44,0.4394,0.77,0.2985,40,70,110
2011-01-01 16:00:00,1,0,0,2,0.42,0.4242,0.82,0.2985,41,52,93
2011-01-01 17:00:00,1,0,0,2,0.44,0.4394,0.82,0.2836,15,52,67
2011-01-01 18:00:00,1,0,0,3,0.42,0.4242,0.88,0.2537,9,26,35
2011-01-01 19:00:00,1,0,0,3,0.42,0.4242,0.88,0.2537,6,31,37
2011-01-01 20:00:00,1,0,0,2,0.4,0.4091,0.87,0.2537,11,25,36
2011-01-01 21:00:00,1,0,0,2,0.4,0.4091,0.87,0.194,3,31,34
2011-01-01 22:00:00,1,0,0,2,0.4,0.4091,0.94,0.2239,11,17,28
2011-01-01 23:00:00,1,0,0,2,0.46,0.4545,0.88,0.2985,15,24,39
2011-01-02 00:00:00,1,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17
2011-01-02 01:00:00,1,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17
2011-01-02 02:00:00,1,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9
2011-01-02 03:00:00,1,0,0,2,0.46,0.4545,0.94,0.194,2,4,6
2011-01-02 04:00:00,1,0,0,2,0.46,0.4545,0.94,0.194,2,1,3
2011-01-02 06:00:00,1,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2
2011-01-02 07:00:00,1,0,0,2,0.4,0.4091,0.76,0.194,0,1,1
2011-01-02 08:00:00,1,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8
2011-01-02 09:00:00,1,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20
2011-01-02 10:00:00,1,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53
2011-01-02 11:00:00,1,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70
2011-01-02 12:00:00,1,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93
2011-01-02 13:00:00,1,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75
2011-01-02 14:00:00,1,0,0,3,0.36,0.3485,0.76,0.194,4,55,59
2011-01-02 15:00:00,1,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74
2011-01-02 16:00:00,1,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76
2011-01-02 17:00:00,1,0,0,1,0.34,0.3333,0.57,0.194,7,58,65
2011-01-02 18:00:00,1,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53
2011-01-02 19:00:00,1,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30
2011-01-02 20:00:00,1,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22
2011-01-02 21:00:00,1,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31
2011-01-02 22:00:00,1,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9
2011-01-02 23:00:00,1,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8
2011-01-03 00:00:00,1,0,1,1,0.22,0.197,0.44,0.3582,0,5,5
2011-01-03 01:00:00,1,0,1,1,0.2,0.1667,0.44,0.4179,0,2,2
2011-01-03 04:00:00,1,0,1,1,0.16,0.1364,0.47,0.3881,0,1,1
2011-01-03 05:00:00,1,0,1,1,0.16,0.1364,0.47,0.2836,0,3,3
2011-01-03 06:00:00,1,0,1,1,0.14,0.1061,0.5,0.3881,0,30,30
2011-01-03 07:00:00,1,0,1,1,0.14,0.1364,0.5,0.194,1,63,64
2011-01-03 08:00:00,1,0,1,1,0.14,0.1212,0.5,0.2836,1,153,154
2011-01-03 09:00:00,1,0,1,1,0.16,0.1364,0.43,0.3881,7,81,88
